iter	Logloss
306	0.1729531262
307	0.1729434932
308	0.1729334226
309	0.1729241735
310	0.1729173649
311	0.1729081336
312	0.1728986166
313	0.1728463339
314	0.172767331
315	0.1727571919
316	0.1726971237
317	0.1726844806
318	0.1726772331
319	0.1726604961
320	0.172648451
321	0.1726369459
322	0.1726262887
323	0.1726159545
324	0.1726032084
325	0.1725954948
326	0.172583639
327	0.1725735744
328	0.1725657661
329	0.1725571672
330	0.172505743
331	0.1724975331
332	0.172488947
333	0.1724800014
334	0.1724726001
335	0.1724640571
336	0.1724328271
337	0.1724074915
338	0.1723972264
339	0.1721926234
340	0.1720058505
341	0.1719955273
342	0.1718413653
343	0.171757692
344	0.1717520129
345	0.1717464112
346	0.171735059
347	0.1716560461
348	0.1716478564
349	0.1716410263
350	0.1715867278
351	0.1715772419
352	0.1715704589
353	0.1715621999
354	0.1715542075
355	0.1715432491
356	0.1715346576
357	0.1715251154
358	0.1715183313
359	0.1714406654
360	0.1714335293
361	0.1714276095
362	0.1714213184
363	0.1713682069
364	0.1713607041
365	0.1713529224
366	0.1713432963
367	0.1713349883
368	0.1712856045
369	0.1712772021
370	0.1712698578
371	0.1712628541
372	0.1712574663
373	0.1712499489
374	0.1712406417
375	0.1712295577
376	0.1712213744
377	0.1712144137
378	0.1712057253
379	0.171199665
380	0.1711529889
381	0.1711429286
382	0.1710974729
383	0.1710912908
384	0.1710661525
385	0.1710575909
386	0.1710500986
387	0.1710443596
388	0.1710376282
389	0.1710050537
390	0.1709975979
391	0.1709904014
392	0.1709835177
393	0.1708637602
394	0.1708585855
395	0.1708488196
396	0.1708422247
397	0.1708339521
398	0.1708282008
399	0.1708158281
400	0.1708077808
401	0.1708031966
402	0.170796231
403	0.1707891157
404	0.1707813643
405	0.1707738195
406	0.1707677395
407	0.170726577
408	0.1707178819
409	0.1707065508
410	0.1706979027
411	0.1706918538
412	0.170684964
413	0.1706796317
414	0.1706731084
415	0.1706643287
416	0.1706579216
417	0.1706481256
418	0.1706412431
419	0.1706345656
420	0.1706261336
421	0.1705542237
422	0.1705479373
423	0.1705429103
424	0.1705387752
425	0.1705329081
426	0.17052796
427	0.1705184487
428	0.1705128725
429	0.1704726037
430	0.1704656486
431	0.1704610719
432	0.1702066147
433	0.1701928318
434	0.1701817724
435	0.1701766685
436	0.1701676933
437	0.1701282345
438	0.1700608079
439	0.1700492209
440	0.1700416655
441	0.1700343408
442	0.1700294852
443	0.1700229376
444	0.1700186317
445	0.1700119513
446	0.1700045641
447	0.1699842759
448	0.1699788138
449	0.169973977
450	0.1699697446
451	0.1699601044
452	0.1699533145
453	0.169948084
454	0.169939528
455	0.1699341702
456	0.1698953606
457	0.1698872932
458	0.1698761067
459	0.1698717746
460	0.1698621776
461	0.1698508969
462	0.1698418515
463	0.1698335086
464	0.1697435535
465	0.1697359875
466	0.1697256657
467	0.1697207663
468	0.1697144189
469	0.1697076118
470	0.1696612175
471	0.1696548765
472	0.1696483011
473	0.1696427026
474	0.1695070361
475	0.1694998194
476	0.169492256
477	0.1694853673
478	0.1694766315
479	0.169470244
480	0.1694608171
481	0.1694533935
482	0.1694501933
483	0.1694444126
484	0.1694376991
485	0.1694336585
486	0.1694298466
487	0.1694242407
488	0.1694150117
489	0.169410237
490	0.1690796934
491	0.168945466
492	0.168833889
493	0.1688266222
494	0.1688222238
495	0.1688131234
496	0.1688062156
497	0.1687982512
498	0.1687909501
499	0.1687498359
7
57
