BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20200312,0.05207034230677965,7,0.013600000000000001,247.62,37.6,20033,262.5,232.5,1.53,NA,179,NA,161.537840239076,NA,2608219.178082192,1341571763.1855261,2608219.178082192,2.608219178082192e-4
20200319,0.08696855044855749,7,0.013600000000000001,199.28,62.8,20034,217.5,180,2.12,NA,0,NA,200.7226013649137,NA,2608219.178082192,594138900.0401447,2608219.178082192,2.608219178082192e-4
20200326,0.06830077879176522,7,0.013200000000000002,229.34,49.32,20041,247.5,212.5,1.42,3.41,82,424,174.41353449027645,210604342.8970088,2584821.4829689967,0,213189164.3799778,0.02131891643799778
20200402,0.06924247647178144,7,0.0123,231.84,50,20042,250,215,0.75,2.02,104885,38388,172.5327812284334,119478951.00069013,2387088.048441533,0,121866039.04913166,0.012186603904913166
20200409,0.05546322365389693,7,0.0122,245.61,40.05,20043,260,230,0.61,1.41,588,785,162.85981841130246,82244208.29770774,2358968.918872943,0,84603177.21658067,0.008460317721658067
20200416,0.049909977040860067,7,0.011899999999999999,247.1,36.04,20044,260,232.5,0.45,0.66,793,197,161.87778227438284,44921084.58114124,2292443.633823586,0,47213528.21496483,0.004721352821496483
20200423,0.046861541903665954,6,0.012,253.74,36.55,20045,267.5,240,0.3,0.68,1390,1170,157.6416804603137,38622211.712776855,1980221.3677899174,0,40602433.08056677,0.004060243308056677
20200429,0.04832242396169968,8,0.0113,258.15,32.64,20051,272.5,245,0.12,0.77,612,517,154.9486732519853,34476079.79856673,2485251.0619555903,0,36961330.86052232,0.003696133086052232
20200507,0.044052063531347344,7,0.0113,254.46,31.81,20052,267.5,242.5,0.25,1.15,63861,55914,157.19562996148707,55018470.48652047,2179046.468535572,0,57197516.95505604,0.005719751695505604
20200514,0.035659875382967436,7,0.011200000000000002,253.65,25.75,20053,265,242.5,0.16,0.89,2119,729,157.69761482357578,41395623.891188644,2156836.7586659435,0,43552460.649854586,0.004355246064985459
20200521,0.03441351080647538,7,0.010900000000000002,263.74,24.85,20054,275,252.5,0.11,0.4,2212,1519,151.66451808599376,19337226.055964205,2094453.2338303293,0,21431679.289794534,0.0021431679289794533
20200528,0.033887267985289835,7,0.010700000000000001,268.29,24.47,20061,277.5,257.5,0.43,0.72,1850,1240,149.09240001490923,42864065.0042864,2060850.7355310165,333594245.033359,-288669329.29354155,-0.028866932929354154
20200604,0.035646026887673085,7,0.010400000000000001,286.45,25.74,20062,297.5,275,1.11,1.26,175979,179396,139.64042590329902,82736952.34770468,2011022.6030983916,0,84747974.95080307,0.008474797495080308
20200611,0.036089178737092484,7,0.0101,288.62,26.06,20063,300,277.5,0.4,1.26,2475,1539,138.5905342665096,57515071.720601484,1948126.891974374,0,59463198.61257586,0.0059463198612575855
20200618,0.05130867506559004,7,0.0099,281.91,37.05,20064,297.5,265,0.5,0.94,1646,761,141.8892554361321,51080131.95700755,1908328.3647797827,0,52988460.321787335,0.005298846032178734
20200625,0.04182245578895599,7,0.0096,279.73,30.2,20071,292.5,267.5,0.5,1.4,1887,4039,142.99503092267543,67922639.68827082,1853601.0996905526,0,69776240.78796138,0.006977624078796138
20200702,0.0414070009301253,7,0.0095,283.86,29.9,20072,297.5,270,0.32,0.88,60569,79422,140.91453533431974,42274360.60029592,1829619.8492600538,0,44103980.44955598,0.004410398044955598
20200709,0.03467663221706815,7,0.009300000000000001,287.25,25.04,20073,297.5,275,0.47,0.46,2201,1576,139.2515230635335,32375979.112271536,1789336.0992882438,0,34165315.21155978,0.003416531521155978
20200716,0.032723994380563906,7,0.0086,289.25,23.63,20074,300,277.5,0.25,0.4,2716,1868,138.2886776145203,22471910.112359554,1653021.3944897645,0,24124931.50684932,0.002412493150684932
20200723,0.028832567202849796,7,0.0088,292.37,20.82,20075,302.5,282.5,0.26,0.47,1159,2888,136.8129425043609,24968362.007045865,1691885.0715058467,0,26660247.078551713,0.0026660247078551715
20200730,0.032308539521733216,7,0.0078000000000000005,301.85,23.33,20081,312.5,290,0.37,0.49,2228,2133,132.5161504058307,28490972.3372536,1500152.3481907237,0,29991124.685444325,0.0029991124685444324
20200806,0.029885052845220868,7,0.0076,311.32,21.58,20082,322.5,300,0.51,0.65,181019,111651,128.48515996402415,37260696.38956701,1462965.1206792465,26660670.6925345,12062990.817711756,0.0012062990817711756
20200813,0.031657660242898476,7,0.0077,323.33,22.86,20083,335,312.5,0.36,0.66,2357,1394,123.7126155939752,31546716.97646368,1481370.8713562505,337426159.0325681,-304398071.1847482,-0.030439807118474816
