BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20201210,0.05,35,0.0062,369.37,20.15,21012,390,350,1.13,3.56,16946,6251,108.29249803719847,126972953.9486152,6020693.509607806,1078864011.6955903,-945870364.2373673,-0.09458703642373673
20210114,0.05,27,0.0068000000000000005,429.85,32,21022,452.5,407.5,4.47,5.2,2522,696,93.05571711061998,224962196.1149238,5143296.052621096,0,230105492.1675449,0.02301054921675449
20210210,0.05,29,0.0063,419.65,25.21,21032,442.5,397.5,4.22,3.86,11909,3646,95.31752651018707,192541403.55057788,5101855.655969015,0,197643259.2065469,0.01976432592065469
20210311,0.05,28,0.006600000000000001,411.02,28.85,21042,432.5,390,3.41,4.21,3626,3886,97.31886526203105,185392438.32416916,5156878.144115909,0,190549316.46828505,0.019054931646828505
20210408,0.05,35,0.006500000000000001,426.86,17.45,21052,450,405,1.04,2.14,10171,4961,93.70753877149416,74497493.32333787,6279310.081454958,0,80776803.40479283,0.008077680340479282
20210513,0.05,28,0.0062,416.07,22.17,21062,437.5,395,1.39,3.28,9500,5303,96.13766914221165,112240728.7235321,4809547.919195631,0,117050276.64272773,0.011705027664272774
20210610,0.05,28,0.0059,429.35,16.58,21072,452.5,407.5,0.58,1.43,8379,6964,93.164085245138,46814952.83568183,4547215.973173848,0,51362168.80885568,0.005136216880885568
20210708,0.05,35,0.0064,432.63,13.29,21082,455,410,0.51,1.68,15332,13515,92.45775836164853,50620622.703002565,6168052.108179377,0,56788674.81118194,0.005678867481118194
20210812,0.05,28,0.006,422.38,15.12,21092,445,400,0.39,0.97,20094,29000,94.7014536673138,32198494.24688669,4617559.854886238,0,36816054.10177293,0.003681605410177293
20210909,0.05,35,0.0072,407.28,14.73,21102,430,385,0.74,1.98,25267,18808,98.21253191907289,66784521.70496956,6950218.354711377,0,73734740.05968094,0.007373474005968094
20211014,0.05,28,0.0083,389.59,20.54,21112,410,370,0.78,2.05,17689,15910,102.67203983675147,72640468.18450168,6413374.36933172,0,79053842.5538334,0.00790538425538334
20211111,0.05,28,0.0089,385.97,18.19,21122,407.5,365,0.54,1.38,12422,10127,103.6349975386688,49744798.818561025,6861360.010590646,0,56606158.829151675,0.005660615882915167
20211209,0.05,35,0.010900000000000002,401.13,17.69,22012,422.5,380,0.42,2.71,5793,9885,99.71829581432453,78029566.47470894,10533611.724959183,0,88563178.19966812,0.008856317819966812
20220113,0.05,28,0.013500000000000002,393,15.91,22022,415,372.5,0.4,1.36,13367,10401,101.78117048346056,44783715.01272265,10402543.134999476,23664122.137404755,31522136.01031737,0.003152213601031737
20220210,0.05,28,0.0139,371.57,19.68,22032,392.5,352.5,0.74,2.04,14501,6309,107.65131738299648,74817665.58118257,10742791.877929304,0,85560457.45911187,0.008556045745911187
20220310,0.05,35,0.014499999999999999,358.01,28.95,22042,377.5,340,1.93,4.99,9850,5955,111.72872266137817,193290690.20418423,14172863.082955131,0,207463553.28713936,0.020746355328713936
20220414,0.05,28,0.014499999999999999,357.38,17.02,22052,377.5,337.5,0.4,1.23,12414,5617,111.92568134758521,45609715.14914097,11174020.669453567,0,56783735.81859454,0.005678373581859453
20220512,0.05,28,0.0154,337.94,21.1,22062,355,320,1.39,2.68,21826,19734,118.36420666390484,120435580.28052318,11955977.595114963,0,132391557.87563814,0.013239155787563813
20220609,0.05,35,0.0172,346.62,17.1,22072,365,327.5,0.66,1.91,18183,7904,115.40015002019503,74144596.3879753,16615438.485001538,639028330.7368293,-548268295.8638525,-0.05482682958638525
20220714,0.05,28,0.0197,305.35,23.3,22082,322.5,290,1.52,2.48,15288,18579,130.99721630915343,130997216.30915342,15310296.067167476,242999836.25348014,-96692323.87715924,-0.009669232387715923
20220811,0.05,28,0.023,329.92,17.18,22092,347.5,312.5,0.42,0.93,11789,11217,121.2415130940834,40919010.669253156,17716032.446221914,102449078.56450033,-43814035.44902526,-0.004381403544902526
20220908,0.05,35,0.0257,309.12,19.85,22102,325,292.5,1.01,2.22,18739,5447,129.39958592132504,104490165.63146998,24901339.46297399,321234472.04968965,-191842966.95524567,-0.01918429669552457
