BAS_DD,KOSPI200,VKOSPI200
20200612,281.78,32.88
20200611,288.62,26.79
20200610,291.9,26.06
20200609,291.32,26.53
20200608,290.77,27.4
20200605,290.62,25.45
20200604,286.45,25.69
20200603,285.91,25.74
20200602,276.08,25
20200601,273.19,24.94
20200529,268.32,25.64
20200528,268.29,25.24
20200527,267.64,24.47
20200526,267.31,23.8
20200525,262.76,25.27
20200522,259.62,27.74
20200521,263.74,23.57
20200520,262.72,24.85
20200519,261.79,25
20200518,255.44,27.04
20200515,253.79,26.96
20200514,253.65,26.79
20200513,255.85,25.75
20200512,253.37,27.79
20200511,254.95,29.33
20200508,256.62,28.77
20200507,254.46,31.31
20200506,255,31.81
20200504,250.6,36.36
20200429,258.15,30.51
20200428,256.39,32.64
20200427,254.84,35.15
20200424,250.28,37.54
20200423,253.74,34.46
20200422,251.88,36.55
20200421,249.4,36.53
20200420,252.14,33.29
20200417,255.02,31.44
20200416,247.1,34.82
20200414,247.45,36.04
20200413,243.4,39.69
20200410,248,35.84
20200409,245.61,35.55
20200408,241.89,40.05
20200407,244.87,36.14
20200406,240.81,38.26
20200403,231.7,45.34
20200402,231.84,47.24
20200401,226.35,50
20200331,236.82,48.55
20200330,232.45,54.83
20200327,233.79,54.62
20200326,229.34,52.76
20200325,232.89,49.32
20200324,220.34,53.78
20200323,201.87,62.5
20200320,213.67,60.73
20200319,199.28,69.24
20200318,215.83,62.8
20200317,226.89,64.49
20200316,232.97,64.56
20200313,240.65,53.86
20200312,247.62,43.07
20200311,257.01,37.6
20200310,264.67,34.8
20200309,263.11,36.21
20200306,275.1,27.47
20200305,281.38,23.66
20200304,278.13,26.76
20200303,271.56,29.49
20200302,270.37,32.66
20200228,268.02,33.81
20200227,277.09,26.84
20200226,279.94,25.1
20200225,284.24,22.72
20200224,281.02,23.65
20200221,292.42,19.8
20200220,296.65,18.24
20200219,298.33,18.19
20200218,297.74,18.25
20200217,302.76,17.16
20200214,303.01,16.85
20200213,300.93,16.68
20200212,301.54,16.95
20200211,299.28,18.16
20200210,296.24,18.22
20200207,298.21,17.53
20200206,300.65,17.81
20200205,292.02,18.23
20200204,290.68,18.39
20200203,285.05,19.32
20200131,284.53,19.29
20200130,288.37,18.38
20200129,293.98,16.99
20200128,292.77,18.32
20200123,302.33,15.3
20200122,306.08,14.29
20200121,302.11,14.41
20200120,305.58,13.64
20200117,303.3,13.6
20200116,302.78,13.58
20200115,299.74,13.37
20200114,301.53,13.41
20200113,300.13,13.26
20200110,297.06,12.81
20200109,294.41,13.58
20200108,289.42,15.97
20200107,291.23,15.08
20200106,288.43,15.88
20200103,290.74,15.88
20200102,290.35,15.4
20191230,293.77,14.69
20191227,295.2,14.13
20191226,294.06,14.15
20191224,292.9,13.81
20191223,294.87,13.97
20191220,295.31,13.08
20191219,294.31,13.2
20191218,294.22,13.01
20191217,294.4,13.05
20191216,289.76,13.27
20191213,290.11,13.12
20191212,285.11,13.39
20191211,280.28,13.4
20191210,279.31,13.33
20191209,278.03,13.61
20191206,276.56,13.91
20191205,273.3,14.55
20191204,274.15,14.37
20191203,276.19,14.26
20191202,277.44,13.96
